segment,trajectory_id,x1,y1,x2,y2,midpoint_x,midpoint_y,length_px,orientation_deg,trajectory_length_px,trajectory_orientation_deg,trajectory_straightness,trajectory_curvature_rad_per_px,trajectory_average_angle_change_deg,trajectory_evidence
1,1,674,727,706,831,690.0,779.0,108.81176406988355,107.10272896905236,217.92647573580484,107.35399796682519,0.9937764878965994,0.000202285761821991,0.6661099269348227,Straight trajectory
2,1,681,756,704,830,692.5,793.0,77.4919350642375,107.26580949501458,217.92647573580484,107.35399796682519,0.9937764878965994,0.000202285761821991,0.6661099269348227,Straight trajectory
38,1,697,800,707,830,702.0,815.0,31.622776601683793,108.43494882292201,217.92647573580484,107.35399796682519,0.9937764878965994,0.000202285761821991,0.6661099269348227,Straight trajectory
3,2,396,513,443,455,419.5,484.0,74.65252842335616,50.98059952476345,124.3012947725818,52.85255312387802,0.9478979635585196,0.001316827593961051,4.6891832797332285,Straight trajectory
8,2,415,494,443,453,429.0,473.5,49.64876634922564,55.66978280449668,124.3012947725818,52.85255312387802,0.9478979635585196,0.001316827593961051,4.6891832797332285,Straight trajectory
4,3,482,630,518,671,500.0,650.5,54.56189146281496,131.28471089457122,189.13039123622644,123.73670906814928,0.9084527551129754,0.007114397813993943,15.458701292018066,Curved trajectory
24,3,499,653,522,680,510.5,666.5,35.4682957019364,130.42607874009914,189.13039123622644,123.73670906814928,0.9084527551129754,0.007114397813993943,15.458701292018066,Curved trajectory
35,3,525,698,537,728,531.0,713.0,32.31098884280702,111.80140948635182,189.13039123622644,123.73670906814928,0.9084527551129754,0.007114397813993943,15.458701292018066,Curved trajectory
25,3,555,721,578,748,566.5,734.5,35.4682957019364,130.42607874009914,189.13039123622644,123.73670906814928,0.9084527551129754,0.007114397813993943,15.458701292018066,Curved trajectory
40,3,556,751,565,781,560.5,766.0,31.32091952673165,106.69924423399361,189.13039123622644,123.73670906814928,0.9084527551129754,0.007114397813993943,15.458701292018066,Curved trajectory
5,4,502,698,524,650,513.0,674.0,52.80151512977634,65.37643521383639,52.80151512977634,65.37643521383639,1.0,0.0,0.0,Uncertain
6,5,581,586,617,622,599.0,604.0,50.91168824543142,135.0,114.00960186756721,117.33876989580824,0.9855710556149647,0.012413804217336899,27.040611562467895,Uncertain
41,5,586,549,589,580,587.5,564.5,31.144823004794873,95.52754015165617,114.00960186756721,117.33876989580824,0.9855710556149647,0.012413804217336899,27.040611562467895,Uncertain
37,5,583,548,594,578,588.5,563.0,31.953090617340916,110.13630342824813,114.00960186756721,117.33876989580824,0.9855710556149647,0.012413804217336899,27.040611562467895,Uncertain
16,6,612,826,640,854,626.0,840.0,39.59797974644666,135.0,279.30233215010503,109.37728681438442,0.3805502387148377,0.007782547999633135,23.435996403483923,Curved trajectory
50,6,607,841,616,868,611.5,854.5,28.460498941515414,108.43494882292201,279.30233215010503,109.37728681438442,0.3805502387148377,0.007782547999633135,23.435996403483923,Curved trajectory
52,6,667,842,678,868,672.5,855.0,28.231188426986208,112.93210043758978,279.30233215010503,109.37728681438442,0.3805502387148377,0.007782547999633135,23.435996403483923,Curved trajectory
18,6,616,866,643,893,629.5,879.5,38.18376618407357,135.0,279.30233215010503,109.37728681438442,0.3805502387148377,0.007782547999633135,23.435996403483923,Curved trajectory
30,6,650,895,653,861,651.5,878.0,34.132096331752024,84.95754893082909,279.30233215010503,109.37728681438442,0.3805502387148377,0.007782547999633135,23.435996403483923,Curved trajectory
7,6,640,909,652,860,646.0,884.5,50.44799302251776,76.23921488820876,279.30233215010503,109.37728681438442,0.3805502387148377,0.007782547999633135,23.435996403483923,Curved trajectory
31,6,626,880,642,910,634.0,895.0,34.0,118.07248693585296,279.30233215010503,109.37728681438442,0.3805502387148377,0.007782547999633135,23.435996403483923,Curved trajectory
57,6,638,901,646,926,642.0,913.5,26.248809496813376,107.74467162505694,279.30233215010503,109.37728681438442,0.3805502387148377,0.007782547999633135,23.435996403483923,Curved trajectory
26,7,739,310,763,284,751.0,297.0,35.38361202590826,47.290610042638534,169.87912202490458,60.509080543456804,0.9305946571752586,0.003645144675533125,11.861803559170927,Uncertain
9,7,708,325,735,286,721.5,305.5,47.43416490252569,55.30484646876604,169.87912202490458,60.509080543456804,0.9305946571752586,0.003645144675533125,11.861803559170927,Uncertain
36,7,711,326,725,297,718.0,311.5,32.202484376209235,64.23067237566129,169.87912202490458,60.509080543456804,0.9305946571752586,0.003645144675533125,11.861803559170927,Uncertain
54,7,675,346,689,322,682.0,334.0,27.784887978899608,59.743562836470744,169.87912202490458,60.509080543456804,0.9305946571752586,0.003645144675533125,11.861803559170927,Uncertain
56,7,663,392,665,365,664.0,378.5,27.073972741361768,85.76360520094116,169.87912202490458,60.509080543456804,0.9305946571752586,0.003645144675533125,11.861803559170927,Uncertain
10,8,445,490,449,536,447.0,513.0,46.17358552246078,94.9697407281103,222.8851945717226,100.20148003832159,0.5298262595327723,0.004621363549241583,16.842497194081616,Uncertain
12,8,441,490,453,531,447.0,510.5,42.720018726587654,106.31385242626055,222.8851945717226,100.20148003832159,0.5298262595327723,0.004621363549241583,16.842497194081616,Uncertain
55,8,435,467,447,492,441.0,479.5,27.730849247724095,115.64100582430528,222.8851945717226,100.20148003832159,0.5298262595327723,0.004621363549241583,16.842497194081616,Uncertain
33,8,427,495,429,462,428.0,478.5,33.06055050963308,86.53177074108285,222.8851945717226,100.20148003832159,0.5298262595327723,0.004621363549241583,16.842497194081616,Uncertain
11,8,412,514,414,470,413.0,492.0,44.04543109109048,87.39743779750019,222.8851945717226,100.20148003832159,0.5298262595327723,0.004621363549241583,16.842497194081616,Uncertain
44,8,411,471,426,496,418.5,483.5,29.154759474226502,120.96375653207352,222.8851945717226,100.20148003832159,0.5298262595327723,0.004621363549241583,16.842497194081616,Uncertain
13,9,526,823,558,795,542.0,809.0,42.5205832509386,41.18592516570965,78.87990117633429,36.72682820513253,0.8924260172610505,0.004284407420016806,9.681658446505455,Uncertain
23,9,533,814,564,795,548.5,804.5,36.359317925395686,31.504266719204193,78.87990117633429,36.72682820513253,0.8924260172610505,0.004284407420016806,9.681658446505455,Uncertain
14,10,458,711,490,738,474.0,724.5,41.86884283091664,139.84400037508067,75.17049444161006,136.08357973815882,0.9055975204957002,0.003945353004452277,8.496223155386986,Uncertain
32,10,458,707,480,732,469.0,719.5,33.301651610693426,131.34777721969368,75.17049444161006,136.08357973815882,0.9055975204957002,0.003945353004452277,8.496223155386986,Uncertain
15,11,929,564,962,542,945.5,553.0,39.66106403010388,33.690067525979785,77.84483021417745,39.236301397612536,0.8743340836219976,0.005071513658820473,11.309932474020215,Uncertain
19,11,901,551,928,524,914.5,537.5,38.18376618407357,45.0,77.84483021417745,39.236301397612536,0.8743340836219976,0.005071513658820473,11.309932474020215,Uncertain
17,12,709,398,737,372,723.0,385.0,38.2099463490856,42.87890360333855,38.2099463490856,42.87890360333855,1.0,0.0,0.0,Uncertain
20,13,628,1264,628,1226,628.0,1245.0,38.0,90.0,38.0,90.0,1.0,0.0,0.0,Uncertain
21,14,413,607,442,584,427.5,595.5,37.013511046643494,38.41805534482199,37.013511046643494,38.41805534482199,1.0,0.0,0.0,Uncertain
22,15,373,584,400,609,386.5,596.5,36.796738985948195,137.20259816176582,36.796738985948195,137.20259816176582,1.0,0.0,0.0,Uncertain
27,16,648,663,673,638,660.5,650.5,35.35533905932738,45.0,121.79495826971308,65.10197684272785,0.9508909341238708,0.01828812685438396,29.70516749782674,Curved trajectory
47,16,647,672,648,643,647.5,657.5,29.017236257093817,88.02506598911803,121.79495826971308,65.10197684272785,0.9508909341238708,0.01828812685438396,29.70516749782674,Curved trajectory
51,16,636,686,651,662,643.5,674.0,28.30194339616981,57.9946167919165,121.79495826971308,65.10197684272785,0.9508909341238708,0.01828812685438396,29.70516749782674,Curved trajectory
46,16,627,712,635,684,631.0,698.0,29.120439557122072,74.05460409907715,121.79495826971308,65.10197684272785,0.9508909341238708,0.01828812685438396,29.70516749782674,Curved trajectory
28,17,616,637,639,611,627.5,624.0,34.713109915419565,48.50353164478446,34.713109915419565,48.50353164478446,1.0,0.0,0.0,Uncertain
29,18,741,1230,754,1262,747.5,1246.0,34.539832078341085,112.10944834375167,65.06850712328858,116.56301986961236,0.8944660677500308,0.00509531631996339,9.498053902497233,Uncertain
43,18,741,1231,757,1257,749.0,1244.0,30.528675044947494,121.6075022462489,65.06850712328858,116.56301986961236,0.8944660677500308,0.00509531631996339,9.498053902497233,Uncertain
34,19,634,1046,644,1077,639.0,1061.5,32.57299494980466,107.87869659584133,58.64980457061526,98.03902806577979,0.7524733116573682,0.013258834046554176,22.27740195083686,Uncertain
59,19,627,1089,629,1063,628.0,1076.0,26.076809620810597,85.60129464500447,58.64980457061526,98.03902806577979,0.7524733116573682,0.013258834046554176,22.27740195083686,Uncertain
39,20,384,517,400,544,392.0,530.5,31.38470965295043,120.65066795705286,60.5051492100725,113.57938411117465,0.836608088265222,0.008483754461620559,14.705272056130013,Uncertain
45,20,365,529,373,557,369.0,543.0,29.120439557122072,105.94539590092285,60.5051492100725,113.57938411117465,0.836608088265222,0.008483754461620559,14.705272056130013,Uncertain
42,21,202,930,221,906,211.5,918.0,30.610455730027933,51.63251461513847,30.610455730027933,51.63251461513847,1.0,0.0,0.0,Uncertain
48,22,751,432,758,404,754.5,418.0,28.861739379323623,75.96375653207353,28.861739379323623,75.96375653207353,1.0,0.0,0.0,Uncertain
49,23,525,831,534,804,529.5,817.5,28.460498941515414,71.56505117707799,54.422008913009755,72.89723298343583,0.9689699737142968,0.0010287120992419191,2.792702365713282,Straight trajectory
60,23,559,796,566,771,562.5,783.5,25.96150997149434,74.35775354279127,54.422008913009755,72.89723298343583,0.9689699737142968,0.0010287120992419191,2.792702365713282,Straight trajectory
53,24,196,947,222,937,209.0,942.0,27.85677655436824,21.037511025421818,27.85677655436824,21.037511025421818,1.0,0.0,0.0,Uncertain
58,25,679,509,682,483,680.5,496.0,26.1725046566048,83.418055344822,26.1725046566048,83.418055344822,1.0,0.0,0.0,Uncertain
61,26,495,936,503,912,499.0,924.0,25.298221281347036,71.56505117707799,49.381410438931624,82.86226500646166,0.7422378831816868,0.016398550899464476,23.198590513648185,Uncertain
65,26,482,905,484,929,483.0,917.0,24.08318915758459,94.76364169072617,49.381410438931624,82.86226500646166,0.7422378831816868,0.016398550899464476,23.198590513648185,Uncertain
62,27,997,555,1022,557,1009.5,556.0,25.079872407968907,175.42607874009914,25.079872407968907,175.42607874009914,1.0,0.0,0.0,Uncertain
63,28,720,394,727,370,723.5,382.0,25.0,73.73979529168804,25.0,73.73979529168804,1.0,0.0,0.0,Uncertain
64,29,401,609,425,606,413.0,607.5,24.186773244895647,7.125016348901798,24.186773244895647,7.125016348901798,1.0,0.0,0.0,Uncertain
