segment,trajectory_id,x1,y1,x2,y2,midpoint_x,midpoint_y,length_px,orientation_deg,trajectory_length_px,trajectory_orientation_deg,trajectory_straightness,trajectory_curvature_rad_per_px,trajectory_average_angle_change_deg,trajectory_evidence
2,1,494,197,532,232,513.0,214.5,51.66236541235796,137.3532968661083,182.0669387176721,124.70048885590548,0.9971002331675266,0.003380704043829522,11.887975896889705,Uncertain
1,1,483,176,518,223,500.5,199.5,58.60034129593445,126.67434966957316,182.0669387176721,124.70048885590548,0.9971002331675266,0.003380704043829522,11.887975896889705,Uncertain
3,1,482,169,504,205,493.0,187.0,42.190046219457976,121.42956561483851,182.0669387176721,124.70048885590548,0.9971002331675266,0.003380704043829522,11.887975896889705,Uncertain
6,1,487,169,493,198,490.0,183.5,29.614185789921695,101.6893691754392,182.0669387176721,124.70048885590548,0.9971002331675266,0.003380704043829522,11.887975896889705,Uncertain
4,2,149,165,185,165,167.0,165.0,36.0,0.0,36.0,0.0,1.0,0.0,0.0,Uncertain
5,3,736,1580,747,1614,741.5,1597.0,35.73513677041127,107.92791976200724,35.73513677041127,107.92791976200722,1.0,0.0,0.0,Uncertain
