segment,trajectory_id,x1,y1,x2,y2,midpoint_x,midpoint_y,length_px,orientation_deg,trajectory_length_px,trajectory_orientation_deg,trajectory_straightness,trajectory_curvature_rad_per_px,trajectory_average_angle_change_deg,trajectory_evidence
1,1,381,588,452,583,416.5,585.5,71.17583859709698,4.028263666485141,71.17583859709698,4.028263666485141,1.0,0.0,0.0,Uncertain
2,2,399,478,459,442,429.0,460.0,69.9714227381436,30.96375653207352,588.761248642775,141.04787050707213,0.32236318985025875,0.02503718509404054,52.551820086021486,Curved trajectory
22,2,403,392,438,406,420.5,399.0,37.69615364994153,158.19859051364818,588.761248642775,141.04787050707213,0.32236318985025875,0.02503718509404054,52.551820086021486,Curved trajectory
15,2,412,466,451,452,431.5,459.0,41.43669871020132,19.74683660542612,588.761248642775,141.04787050707213,0.32236318985025875,0.02503718509404054,52.551820086021486,Curved trajectory
34,2,453,431,464,461,458.5,446.0,31.953090617340916,110.13630342824813,588.761248642775,141.04787050707213,0.32236318985025875,0.02503718509404054,52.551820086021486,Curved trajectory
50,2,443,397,468,408,455.5,402.5,27.313000567495326,156.25050550713325,588.761248642775,141.04787050707213,0.32236318985025875,0.02503718509404054,52.551820086021486,Curved trajectory
18,2,448,406,482,425,465.0,415.5,38.948684188300895,150.80251395393552,588.761248642775,141.04787050707213,0.32236318985025875,0.02503718509404054,52.551820086021486,Curved trajectory
51,2,469,428,470,401,469.5,414.5,27.018512172212592,87.87890360333854,588.761248642775,141.04787050707213,0.32236318985025875,0.02503718509404054,52.551820086021486,Curved trajectory
13,2,467,405,491,440,479.0,422.5,42.43819034784589,124.43898930880361,588.761248642775,141.04787050707213,0.32236318985025875,0.02503718509404054,52.551820086021486,Curved trajectory
52,2,469,412,495,409,482.0,410.5,26.1725046566048,6.581944655178011,588.761248642775,141.04787050707213,0.32236318985025875,0.02503718509404054,52.551820086021486,Curved trajectory
58,2,492,401,494,426,493.0,413.5,25.079872407968907,94.57392125990086,588.761248642775,141.04787050707213,0.32236318985025875,0.02503718509404054,52.551820086021486,Curved trajectory
47,2,511,480,511,451,511.0,465.5,29.0,90.0,588.761248642775,141.04787050707213,0.32236318985025875,0.02503718509404054,52.551820086021486,Curved trajectory
5,2,493,402,529,439,511.0,420.5,51.62363799656123,134.21517539700812,588.761248642775,141.04787050707213,0.32236318985025875,0.02503718509404054,52.551820086021486,Curved trajectory
