image_name,trajectory_id,segment_count,trajectory_length_px,orientation_angle_deg,straightness,curvature_rad_per_px,average_angle_change_deg,trajectory_evidence
awan28.jpg,1,78,3195.0962145774133,115.12930145729038,0.1198342764678455,0.008549510107325025,32.37219763153588,Curved trajectory
awan28.jpg,2,3,203.93168811462886,46.0140494127489,0.9999226040360827,0.002529198324225309,10.306965524493044,Uncertain
awan28.jpg,3,5,206.75775204437195,114.58645826759644,0.9162381624788593,0.004006980479349633,12.247728274607443,Uncertain
awan28.jpg,4,1,57.42821606144492,172.99873244250466,1.0,0.0,0.0,Uncertain
awan28.jpg,5,2,99.10008435518075,123.75522070110719,0.7573178602453697,0.007693317643182618,21.84139257791672,Uncertain
awan28.jpg,6,2,84.98153030595003,141.22398105085918,0.883181599748353,0.004318536353881015,10.513656022648235,Uncertain
awan28.jpg,7,1,52.32590180780452,45.0,1.0,0.0,0.0,Uncertain
awan28.jpg,8,5,185.21706138449971,62.016065305346736,0.5853254222951194,0.008094405791686535,15.674504804617035,Curved trajectory
awan28.jpg,9,3,123.69759220118239,49.76426569029988,0.921794027766575,0.005859260713845006,13.477028155930217,Curved trajectory
awan28.jpg,10,3,113.34726313665857,76.20885353772167,0.7312820543618546,0.001002477466009064,2.5549386906699,Uncertain
awan28.jpg,11,5,190.8466617297232,79.67000938119217,0.5864834899192706,0.005495338521972839,18.876996703918692,Curved trajectory
awan28.jpg,12,2,70.53178992639482,60.29483457247423,0.720399166963397,0.012453844201629444,25.16407497329427,Uncertain
awan28.jpg,13,1,44.553338819890925,134.09061955080085,1.0,0.0,0.0,Uncertain
awan28.jpg,14,4,141.4333359915247,144.27522313308788,0.5623790737397112,0.003769933067663772,10.600892346330093,Uncertain
awan28.jpg,15,1,44.04543109109048,50.527540151656176,1.0,0.0,0.0,Uncertain
awan28.jpg,16,2,82.02438661763952,45.0,1.0,0.0,0.0,Straight trajectory
awan28.jpg,17,5,172.59318048367408,53.39775439873636,0.5864330422944429,0.006981254040151716,18.495029810024306,Curved trajectory
awan28.jpg,18,5,168.38521803317124,108.13090383056739,0.9251577532002512,0.007223566654880416,16.09976031765478,Curved trajectory
awan28.jpg,19,1,42.42640687119285,45.0,1.0,0.0,0.0,Uncertain
awan28.jpg,20,2,70.88690581270826,124.53045596709805,0.7048327646991335,0.013081332967919882,26.56505117707799,Uncertain
awan28.jpg,21,1,39.824615503479755,118.49563861824498,1.0,0.0,0.0,Uncertain
awan28.jpg,22,2,67.33852565830007,51.05817655643108,0.8440417392452613,0.0072760328721770415,14.036243467926482,Uncertain
awan28.jpg,23,1,36.796738985948195,42.797401838234194,1.0,0.0,0.0,Uncertain
awan28.jpg,24,1,34.438350715445125,25.82099197418928,1.0,0.0,0.0,Uncertain
awan28.jpg,25,1,33.421549934136806,128.9275435927923,1.0,0.0,0.0,Uncertain
awan28.jpg,26,1,33.301651610693426,48.65222278030633,1.0,0.0,0.0,Uncertain
awan28.jpg,27,2,56.83281572999748,40.64561636372496,0.7048327646991335,0.016316193489462595,26.56505117707799,Uncertain
awan28.jpg,28,1,29.68164415931166,32.61924307119283,1.0,0.0,0.0,Uncertain
awan28.jpg,29,1,29.614185789921695,101.6893691754392,1.0,0.0,0.0,Uncertain
awan28.jpg,30,1,28.861739379323623,75.96375653207353,1.0,0.0,0.0,Uncertain
awan28.jpg,31,2,56.29427549843137,77.69198423659795,0.995177215198451,0.00026914326844499123,0.4340506321394031,Straight trajectory
awan28.jpg,32,1,28.442925306655784,79.8753283446022,1.0,0.0,0.0,Uncertain
awan28.jpg,33,1,28.160255680657446,173.8844964337146,1.0,0.0,0.0,Uncertain
awan28.jpg,34,1,27.313000567495326,156.25050550713325,1.0,0.0,0.0,Uncertain
awan28.jpg,35,1,27.073972741361768,85.76360520094116,1.0,0.0,0.0,Uncertain
awan28.jpg,36,1,26.1725046566048,6.5819446551780105,1.0,0.0,0.0,Uncertain
awan28.jpg,37,1,26.076809620810597,94.39870535499551,1.0,0.0,0.0,Uncertain
awan28.jpg,38,1,26.019223662515376,87.7974018382342,1.0,0.0,0.0,Uncertain
awan28.jpg,39,1,26.0,22.619864948040423,1.0,0.0,0.0,Uncertain
awan28.jpg,40,1,24.08318915758459,94.76364169072616,1.0,0.0,0.0,Uncertain
