segment,trajectory_id,x1,y1,x2,y2,midpoint_x,midpoint_y,length_px,orientation_deg,trajectory_length_px,trajectory_orientation_deg,trajectory_straightness,trajectory_curvature_rad_per_px,trajectory_average_angle_change_deg,trajectory_evidence
1,1,694,1009,736,1042,715.0,1025.5,53.41348144429457,141.84277341263095,53.41348144429457,141.84277341263095,1.0,0.0,0.0,Uncertain
2,2,687,826,699,792,693.0,809.0,36.05551275463989,70.5599651718238,36.05551275463989,70.5599651718238,1.0,0.0,0.0,Uncertain
3,3,801,1097,827,1118,814.0,1107.5,33.421549934136806,141.0724564072077,33.421549934136806,141.0724564072077,1.0,0.0,0.0,Uncertain
4,4,731,776,736,800,733.5,788.0,24.515301344262525,101.76828893202064,24.515301344262525,101.76828893202064,1.0,0.0,0.0,Uncertain
