segment,trajectory_id,x1,y1,x2,y2,midpoint_x,midpoint_y,length_px,orientation_deg,trajectory_length_px,trajectory_orientation_deg,trajectory_straightness,trajectory_curvature_rad_per_px,trajectory_average_angle_change_deg,trajectory_evidence
1,1,753,317,799,278,776.0,297.5,60.30754513325841,40.292147755627774,106.95516029202082,48.42339531689944,0.7917322698633477,0.00611744556495177,18.74409571229871,Uncertain
6,1,761,321,785,281,773.0,301.0,46.647615158762406,59.03624346792648,106.95516029202082,48.42339531689944,0.7917322698633477,0.00611744556495177,18.74409571229871,Uncertain
2,2,432,736,458,786,445.0,761.0,56.356011214421486,117.47443162627712,56.356011214421486,117.47443162627712,1.0,0.0,0.0,Uncertain
3,3,474,720,505,767,489.5,743.5,56.302753041036986,123.40782458970892,132.03763431945399,128.92075979126182,0.9903242607760986,0.005303702617744716,11.736709904726638,Uncertain
13,3,428,673,449,706,438.5,689.5,39.11521443121589,122.47119229084849,132.03763431945399,128.92075979126182,0.9903242607760986,0.005303702617744716,11.736709904726638,Uncertain
19,3,395,663,425,684,410.0,673.5,36.61966684720111,145.00797980144134,132.03763431945399,128.92075979126182,0.9903242607760986,0.005303702617744716,11.736709904726638,Uncertain
4,4,131,1189,161,1151,146.0,1170.0,48.41487374764082,51.70983680775693,48.41487374764082,51.70983680775693,1.0,0.0,0.0,Uncertain
31,5,545,407,555,377,550.0,392.0,31.622776601683793,71.56505117707799,148.1411940837507,79.82276438418832,0.9740632451650295,0.004394707235623884,8.951142180177333,Uncertain
5,5,550,401,557,354,553.5,377.5,47.51841748206689,81.52885536698517,148.1411940837507,79.82276438418832,0.9740632451650295,0.004394707235623884,8.951142180177333,Uncertain
10,5,536,349,545,309,540.5,329.0,41.0,77.31961650818018,148.1411940837507,79.82276438418832,0.9740632451650295,0.004394707235623884,8.951142180177333,Uncertain
44,5,544,323,544,295,544.0,309.0,28.0,90.0,148.1411940837507,79.82276438418832,0.9740632451650295,0.004394707235623884,8.951142180177333,Uncertain
7,6,310,259,335,297,322.5,278.0,45.48626166217664,123.34070734647699,45.48626166217664,123.34070734647699,1.0,0.0,0.0,Uncertain
20,7,377,378,394,410,385.5,394.0,36.235341863986875,117.97947438848016,232.26289979248222,94.02433504418586,0.8480310176468455,0.010074343598822769,28.45196594164744,Curved trajectory
46,7,386,374,396,348,391.0,361.0,27.85677655436824,68.96248897457819,232.26289979248222,94.02433504418586,0.8480310176468455,0.010074343598822769,28.45196594164744,Curved trajectory
8,7,387,378,392,334,389.5,356.0,44.28317965096906,83.51692630710276,232.26289979248222,94.02433504418586,0.8480310176468455,0.010074343598822769,28.45196594164744,Curved trajectory
23,7,393,329,402,362,397.5,345.5,34.20526275297414,105.25511870305778,232.26289979248222,94.02433504418586,0.8480310176468455,0.010074343598822769,28.45196594164744,Curved trajectory
29,7,392,330,409,358,400.5,344.0,32.7566787083184,121.26373169437741,232.26289979248222,94.02433504418586,0.8480310176468455,0.010074343598822769,28.45196594164744,Curved trajectory
45,7,402,355,412,329,407.0,342.0,27.85677655436824,68.96248897457819,232.26289979248222,94.02433504418586,0.8480310176468455,0.010074343598822769,28.45196594164744,Curved trajectory
40,7,411,358,413,329,412.0,343.5,29.068883707497267,86.05481377096244,232.26289979248222,94.02433504418586,0.8480310176468455,0.010074343598822769,28.45196594164744,Curved trajectory
9,8,651,425,684,453,667.5,439.0,43.278170016764804,139.6858998395027,73.8068450617123,143.28153851322347,0.9032600231750175,0.0041177427411738885,8.70659791424842,Uncertain
33,8,660,436,686,452,673.0,444.0,30.528675044947494,148.39249775375112,73.8068450617123,143.28153851322347,0.9032600231750175,0.0041177427411738885,8.70659791424842,Uncertain
11,9,448,545,453,505,450.5,525.0,40.311288741492746,82.8749836510982,96.67574164287069,92.30602907196086,0.9707284739491121,0.007214151677283799,12.183237873920888,Curved trajectory
55,9,476,508,476,534,476.0,521.0,26.0,90.0,96.67574164287069,92.30602907196086,0.9707284739491121,0.007214151677283799,12.183237873920888,Curved trajectory
34,9,473,508,482,537,477.5,522.5,30.364452901377952,107.24145939893998,96.67574164287069,92.30602907196086,0.9707284739491121,0.007214151677283799,12.183237873920888,Curved trajectory
12,10,647,566,663,529,655.0,547.5,40.311288741492746,66.61477894278624,69.31128874149275,76.28902499668274,0.7401642104754027,0.010577219044911159,23.385221057213755,Uncertain
41,10,635,566,635,595,635.0,580.5,29.0,90.0,69.31128874149275,76.28902499668274,0.7401642104754027,0.010577219044911159,23.385221057213755,Uncertain
49,11,466,908,479,884,472.5,896.0,27.294688127912362,61.55707137563666,129.5139890924568,81.97661146935003,0.8607781156623567,0.008964224849971359,23.22536969243676,Curved trajectory
26,11,453,890,456,923,454.5,906.5,33.13608305156178,95.1944289077348,129.5139890924568,81.97661146935003,0.8607781156623567,0.008964224849971359,23.22536969243676,Curved trajectory
36,11,460,960,468,931,464.0,945.5,30.083217912982647,74.57783868126133,129.5139890924568,81.97661146935003,0.8607781156623567,0.008964224849971359,23.22536969243676,Curved trajectory
14,11,461,981,461,942,461.0,961.5,39.0,90.0,129.5139890924568,81.97661146935003,0.8607781156623567,0.008964224849971359,23.22536969243676,Curved trajectory
15,12,502,462,514,498,508.0,480.0,37.94733192202055,108.43494882292201,37.94733192202055,108.434948822922,1.0,0.0,0.0,Uncertain
16,13,503,782,510,745,506.5,763.5,37.656340767525464,79.28687697720896,70.41301947584387,78.53048100617997,0.9819337304940539,0.0007897382887597938,1.625964255535152,Straight trajectory
27,13,490,746,497,714,493.5,730.0,32.7566787083184,77.66091272167381,70.41301947584387,78.53048100617997,0.9819337304940539,0.0007897382887597938,1.625964255535152,Straight trajectory
17,14,622,419,623,382,622.5,400.5,37.013511046643494,88.45184230102204,72.74864781705477,80.40992970502495,0.8180026437441191,0.007859411474204736,16.379762063029276,Uncertain
22,14,626,420,637,386,631.5,403.0,35.73513677041127,72.07208023799276,72.74864781705477,80.40992970502495,0.8180026437441191,0.007859411474204736,16.379762063029276,Uncertain
18,15,672,968,698,994,685.0,981.0,36.76955262170047,135.0,36.76955262170047,135.0,1.0,0.0,0.0,Uncertain
21,16,743,557,744,521,743.5,539.0,36.013886210738214,88.40885972880542,36.013886210738214,88.40885972880542,1.0,0.0,0.0,Uncertain
24,17,375,922,396,895,385.5,908.5,34.20526275297414,52.1250163489018,34.20526275297414,52.12501634890181,1.0,0.0,0.0,Uncertain
25,18,306,568,308,602,307.0,585.0,34.058772731852805,93.36646066342979,61.572405716248014,83.39457301745223,0.7504449704009399,0.012732980602833661,22.459952663915402,Uncertain
48,18,307,603,316,577,311.5,590.0,27.51363298439521,70.90650799951439,61.572405716248014,83.39457301745223,0.7504449704009399,0.012732980602833661,22.459952663915402,Uncertain
28,19,482,291,489,259,485.5,275.0,32.7566787083184,77.66091272167381,32.7566787083184,77.66091272167381,1.0,0.0,0.0,Uncertain
30,20,528,476,539,446,533.5,461.0,31.953090617340916,69.86369657175187,61.3639729570464,62.59812589915798,0.8313898887623882,0.008632170657460886,15.174910011385066,Uncertain
