segment,trajectory_id,x1,y1,x2,y2,midpoint_x,midpoint_y,length_px,orientation_deg,trajectory_length_px,trajectory_orientation_deg,trajectory_straightness,trajectory_curvature_rad_per_px,trajectory_average_angle_change_deg,trajectory_evidence
1,1,477,648,517,688,497.0,668.0,56.568542494923804,135.0,56.568542494923804,135.0,1.0,0.0,0.0,Uncertain
2,2,479,782,513,823,496.0,802.5,53.2634959423431,129.66784111834045,121.91773135471695,133.6670314986964,0.9564719236792565,0.0026435423125337745,6.169611085614235,Straight trajectory
6,2,475,782,501,805,488.0,793.5,34.713109915419565,138.50353164478446,121.91773135471695,133.6670314986964,0.9564719236792565,0.0026435423125337745,6.169611085614235,Straight trajectory
7,2,448,776,472,800,460.0,788.0,33.94112549695428,135.0,121.91773135471695,133.6670314986964,0.9564719236792565,0.0026435423125337745,6.169611085614235,Straight trajectory
3,3,408,580,413,624,410.5,602.0,44.28317965096906,96.48307369289724,44.28317965096906,96.48307369289722,1.0,0.0,0.0,Uncertain
4,4,508,615,518,581,513.0,598.0,35.4400902933387,73.61045966596522,64.0931878571275,67.87320033960908,0.8571190444165311,0.007003455053593472,12.8592860025122,Uncertain
8,4,504,615,518,590,511.0,602.5,28.653097563788805,60.751173663453024,64.0931878571275,67.87320033960908,0.8571190444165311,0.007003455053593472,12.8592860025122,Uncertain
5,5,505,614,520,646,512.5,630.0,35.34119409414458,115.11483488614456,35.34119409414458,115.11483488614455,1.0,0.0,0.0,Uncertain
10,6,462,658,487,648,474.5,653.0,26.92582403567252,21.80140948635181,80.3665935477615,20.481543992433657,0.8313826297818268,0.004924268937534034,7.992434440731474,Uncertain
9,6,480,629,505,617,492.5,623.0,27.730849247724095,25.641005824305285,80.3665935477615,20.481543992433657,0.8313826297818268,0.004924268937534034,7.992434440731474,Uncertain
11,6,500,630,525,624,512.5,627.0,25.709920264364882,13.495733280795811,80.3665935477615,20.481543992433657,0.8313826297818268,0.004924268937534034,7.992434440731474,Uncertain
