segment,trajectory_id,x1,y1,x2,y2,midpoint_x,midpoint_y,length_px,orientation_deg,trajectory_length_px,trajectory_orientation_deg,trajectory_straightness,trajectory_curvature_rad_per_px,trajectory_average_angle_change_deg,trajectory_evidence
1,1,474,857,515,897,494.5,877.0,57.28001396647874,135.70731936854426,57.28001396647874,135.70731936854426,1.0,0.0,0.0,Uncertain
2,2,666,750,714,781,690.0,765.5,57.14017850864661,147.144278049567,96.54829949912268,138.48784500600385,0.7618045927892878,0.006993273488574471,21.4375866489641,Uncertain
15,2,627,735,650,767,638.5,751.0,39.408120990476064,125.70669140060289,96.54829949912268,138.48784500600385,0.7618045927892878,0.006993273488574471,21.4375866489641,Uncertain
3,3,524,742,578,728,551.0,735.0,55.78530272392541,14.534455080540122,55.78530272392541,14.534455080540122,1.0,0.0,0.0,Uncertain
4,4,431,662,474,695,452.5,678.5,54.20332093147061,142.49585763972985,54.20332093147061,142.49585763972982,1.0,0.0,0.0,Uncertain
5,5,922,726,960,764,941.0,745.0,53.74011537017761,135.0,53.74011537017761,135.0,1.0,0.0,0.0,Uncertain
6,6,537,597,562,640,549.5,618.5,49.73932046178355,120.17352002964432,49.73932046178355,120.17352002964432,1.0,0.0,0.0,Uncertain
7,7,813,559,848,524,830.5,541.5,49.49747468305833,45.0,49.49747468305833,45.0,1.0,0.0,0.0,Uncertain
8,8,472,553,490,597,481.0,575.0,47.53945729601885,112.24902365721236,47.53945729601885,112.24902365721236,1.0,0.0,0.0,Uncertain
27,9,289,777,313,792,301.0,784.5,28.30194339616981,147.9946167919165,101.78852948612592,156.74323276175272,0.7150920903747859,0.004812765143705766,10.227314630544996,Uncertain
9,9,266,791,310,805,288.0,798.0,46.17358552246078,162.34987578006988,101.78852948612592,156.74323276175272,0.7150920903747859,0.004812765143705766,10.227314630544996,Uncertain
31,9,303,815,328,826,315.5,820.5,27.313000567495326,156.25050550713325,101.78852948612592,156.74323276175272,0.7150920903747859,0.004812765143705766,10.227314630544996,Uncertain
10,10,473,980,491,1017,482.0,998.5,41.14608122288197,115.94229548987167,78.30788957500606,114.92849298938668,0.9762627558731782,0.000823819730720497,2.1363519714139585,Straight trajectory
17,10,443,949,458,983,450.5,966.0,37.16180835212409,113.80594351845771,78.30788957500606,114.92849298938668,0.9762627558731782,0.000823819730720497,2.1363519714139585,Straight trajectory
