segment,trajectory_id,x1,y1,x2,y2,midpoint_x,midpoint_y,length_px,orientation_deg,trajectory_length_px,trajectory_orientation_deg,trajectory_straightness,trajectory_curvature_rad_per_px,trajectory_average_angle_change_deg,trajectory_evidence
1,1,323,531,387,467,355.0,499.0,90.50966799187809,45.0,166.31283320025824,38.61523286368006,0.7828649300297114,0.0020645636500790355,7.13225614903995,Uncertain
54,1,352,467,380,450,366.0,458.5,32.7566787083184,31.26373169437743,166.31283320025824,38.61523286368006,0.7828649300297114,0.0020645636500790355,7.13225614903995,Uncertain
18,1,386,471,423,449,404.5,460.0,43.04648650006177,30.7354877019201,166.31283320025824,38.61523286368006,0.7828649300297114,0.0020645636500790355,7.13225614903995,Uncertain
62,2,396,723,416,747,406.0,735.0,31.240998703626616,129.80557109226518,312.57836089345005,121.58707480651792,0.8592923256795124,0.005183568101486645,14.244805074490708,Curved trajectory
61,2,404,703,420,730,412.0,716.5,31.38470965295043,120.65066795705286,312.57836089345005,121.58707480651792,0.8592923256795124,0.005183568101486645,14.244805074490708,Curved trajectory
2,2,362,681,417,747,389.5,714.0,85.9127464349732,129.80557109226518,312.57836089345005,121.58707480651792,0.8592923256795124,0.005183568101486645,14.244805074490708,Curved trajectory
28,2,373,692,394,725,383.5,708.5,39.11521443121589,122.47119229084849,312.57836089345005,121.58707480651792,0.8592923256795124,0.005183568101486645,14.244805074490708,Curved trajectory
13,2,362,682,394,714,378.0,698.0,45.254833995939045,135.0,312.57836089345005,121.58707480651792,0.8592923256795124,0.005183568101486645,14.244805074490708,Curved trajectory
66,2,364,681,376,709,370.0,695.0,30.463092423455635,113.19859051364818,312.57836089345005,121.58707480651792,0.8592923256795124,0.005183568101486645,14.244805074490708,Curved trajectory
93,2,336,670,339,646,337.5,658.0,24.186773244895647,82.8749836510982,312.57836089345005,121.58707480651792,0.8592923256795124,0.005183568101486645,14.244805074490708,Curved trajectory
92,2,337,645,338,670,337.5,657.5,25.019992006393608,92.29061004263852,312.57836089345005,121.58707480651792,0.8592923256795124,0.005183568101486645,14.244805074490708,Curved trajectory
12,3,524,801,543,759,533.5,780.0,46.09772228646444,65.65891006330749,450.9936839008824,103.28801706110546,0.5524366650718956,0.005813907155355085,17.30820741801122,Curved trajectory
70,3,525,780,542,756,533.5,768.0,29.410882339705484,54.68878656036681,450.9936839008824,103.28801706110546,0.5524366650718956,0.005813907155355085,17.30820741801122,Curved trajectory
81,3,528,766,529,793,528.5,779.5,27.018512172212592,92.12109639666146,450.9936839008824,103.28801706110546,0.5524366650718956,0.005813907155355085,17.30820741801122,Curved trajectory
53,3,520,800,527,768,523.5,784.0,32.7566787083184,77.66091272167381,450.9936839008824,103.28801706110546,0.5524366650718956,0.005813907155355085,17.30820741801122,Curved trajectory
21,3,518,752,527,793,522.5,772.5,41.97618372363071,102.38075692880717,450.9936839008824,103.28801706110546,0.5524366650718956,0.005813907155355085,17.30820741801122,Curved trajectory
46,3,509,749,523,780,516.0,764.5,34.0147027033899,114.30454926593671,450.9936839008824,103.28801706110546,0.5524366650718956,0.005813907155355085,17.30820741801122,Curved trajectory
3,3,486,734,545,793,515.5,763.5,83.43860018001261,135.0,450.9936839008824,103.28801706110546,0.5524366650718956,0.005813907155355085,17.30820741801122,Curved trajectory
11,3,486,733,520,766,503.0,749.5,47.38143096192854,135.85509739626673,450.9936839008824,103.28801706110546,0.5524366650718956,0.005813907155355085,17.30820741801122,Curved trajectory
43,3,487,732,506,761,496.5,746.5,34.66987164671943,123.23171106797935,450.9936839008824,103.28801706110546,0.5524366650718956,0.005813907155355085,17.30820741801122,Curved trajectory
